Timestamp,IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_Label,Prob_BENIGN,Prob_Bot,Prob_Brute Force,Prob_DoS Attack,Prob_PortScan
2024-12-20_12:26:21,ICMP-192.168.12.140:0-192.168.12.146:0-23727,0.0,33.0,1.0,1.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,120.0,0.0,7272727.272727272,60606.060606061,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,30303.03030303,30303.03030303,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.45138448,0.0706711,0.04908286,0.122502506,0.30635902
2024-12-20_12:26:21,ICMP-192.168.12.140:0-192.168.12.146:0-23983,0.0,681.0,2.0,2.0,300.0,300.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,0.0,881057.268722467,5873.715124816,227.0,146.280552364,420.0,66.0,615.0,615.0,0.0,615.0,615.0,486.0,486.0,0.0,486.0,486.0,0.0,0.0,0.0,0.0,84.0,84.0,2936.857562408,2936.857562408,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.8975026,0.00015746418,3.4477493e-05,0.0005778016,0.10172772
2024-12-20_12:26:21,ICMP-192.168.12.140:0-192.168.12.146:0-63703,0.0,59.0,1.0,1.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,120.0,0.0,4067796.610169492,33898.305084746,59.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,16949.152542373,16949.152542373,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.53001624,0.050703906,0.03253284,0.0779263,0.30882064
2024-12-20_12:26:21,ICMP-192.168.12.140:0-192.168.12.146:0-63959,0.0,50512.0,1.0,1.0,150.0,150.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,0.0,5939.182768451,39.59455179,50512.0,0.0,50512.0,50512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,19.797275895,19.797275895,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.97446316,3.2440664e-07,2.7172103e-08,6.098188e-06,0.02553058
2024-12-20_12:26:21,TCP-192.168.12.140:34482-192.168.12.146:32768,32768.0,5053405.0,5.0,3.0,52.0,0.0,52.0,0.0,10.4,20.8,0.0,0.0,0.0,0.0,10.290091532,1.583091005,721915.0,1767703.262289557,5051886.0,42.0,5053405.0,1263351.25,2187335.811086671,5051928.0,261.0,5052890.0,2526445.0,2525696.0,5052141.0,749.0,0.0,1.0,0.0,1.0,338.0,206.0,0.989431878,0.593659127,0.0,52.0,6.5,17.197383522,295.75,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.6,6.5,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,52.0,3.0,0.0,64240.0,509.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.97515506,3.2742295e-10,1.7783508e-08,6.296196e-08,0.024844715
2024-12-20_12:26:21,TCP-192.168.12.140:34498-192.168.12.146:32768,32768.0,5132478.0,5.0,3.0,18.0,0.0,18.0,0.0,3.6,7.2,0.0,0.0,0.0,0.0,3.507077868,1.558701275,733211.142857143,1792437.995505039,5123766.0,32.0,5132478.0,1283119.5,2217418.976159727,5123798.0,125.0,5131299.0,2565649.5,2565083.5,5130733.0,566.0,0.0,1.0,0.0,1.0,338.0,206.0,0.974188297,0.584512978,0.0,18.0,2.25,5.95294045,35.4375,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.6,2.25,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,3.0,0.0,64240.0,509.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9685675,4.2455992e-10,1.9470964e-08,6.456916e-08,0.031432383
2024-12-20_12:26:21,TCP-192.168.12.140:44860-192.168.12.146:80,80.0,4100204.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.463341824,820040.8,1638243.867251198,4096528.0,122.0,4100204.0,1366734.666666667,1930255.667288547,4096528.0,542.0,4097363.0,4097363.0,0.0,4097363.0,4097363.0,0.0,0.0,0.0,0.0,268.0,148.0,0.975561216,0.487780608,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,65160.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9692595,4.0664453e-08,6.229997e-09,3.4324773e-06,0.030737033
2024-12-20_12:26:21,TCP-192.168.12.140:44861-192.168.12.146:80,80.0,3835708.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.564248373,767141.6,1532450.422716063,3832042.0,122.0,3835708.0,1278569.333333333,1805578.122035587,3832042.0,593.0,3833097.0,3833097.0,0.0,3833097.0,3833097.0,0.0,0.0,0.0,0.0,268.0,148.0,1.042832249,0.521416124,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,63.0,65160.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.97235805,2.9296011e-08,4.8887068e-09,3.4776206e-06,0.027638473
2024-12-20_12:26:21,TCP-192.168.12.140:44862-192.168.12.146:80,80.0,3835703.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.564250413,767140.6,1532450.877900183,3832042.0,203.0,3835703.0,1278567.666666667,1805579.301692457,3832042.0,588.0,3833200.0,3833200.0,0.0,3833200.0,3833200.0,0.0,0.0,0.0,0.0,268.0,148.0,1.042833608,0.521416804,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,65160.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9723775,2.9322424e-08,4.8863438e-09,3.478841e-06,0.027619105
2024-12-20_12:26:21,TCP-192.168.12.140:44863-192.168.12.146:80,80.0,3835704.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.564250005,767140.8,1532451.254376778,3832043.0,258.0,3835704.0,1278568.0,1805579.772638325,3832043.0,589.0,3833269.0,3833269.0,0.0,3833269.0,3833269.0,0.0,0.0,0.0,0.0,260.0,148.0,1.042833336,0.521416668,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,65160.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9722534,2.9659246e-08,4.9188387e-09,3.512616e-06,0.02774309
